#Group,#Point,x_coord,y_coord,z_coord
1,1,1.0,0.0016,0.0
1,2,0.95,0.0134,0.0
1,3,0.9,0.0245,0.0
1,4,0.8,0.0441,0.0
1,5,0.7,0.061,0.0
1,6,0.6,0.075,0.0
1,7,0.5,0.0857,0.0
1,8,0.4,0.0925,0.0
1,9,0.3,0.0938,0.0
1,10,0.25,0.0917,0.0
1,11,0.2,0.087,0.0
1,12,0.15,0.0797,0.0
1,13,0.1,0.0683,0.0
1,14,0.075,0.0606,0.0
1,15,0.05,0.0507,0.0
1,16,0.025,0.0371,0.0
1,17,0.0125,0.0271,0.0
1,18,0.0,0.0,0.0
1,19,0.0125,-0.0206,0.0
1,20,0.025,-0.0286,0.0
1,21,0.05,-0.0384,0.0
1,22,0.075,-0.0447,0.0
1,23,0.1,-0.049,0.0
1,24,0.15,-0.0542,0.0
1,25,0.2,-0.0566,0.0
1,26,0.25,-0.057,0.0
1,27,0.3,-0.0562,0.0
1,28,0.4,-0.0525,0.0
1,29,0.5,-0.0467,0.0
1,30,0.6,-0.039,0.0
1,31,0.7,-0.0305,0.0
1,32,0.8,-0.0215,0.0
1,33,0.9,-0.0117,0.0
1,34,0.95,-0.0068,0.0
1,35,1.0,-0.0016,0.0
1,0,,,
